month,z_systematic,gdp_growth,cpi_yoy,repo_rate,unemployment,default_rate
2015-01-01,-0.3,0.03533788819868284,0.02494626145805794,0.05320689957732242,0.0665732849016477,0.05517363639638575
2015-02-01,0.13432622866946803,0.022620390845531486,0.02716887064735528,0.05655195349798077,0.05630021292947272,0.04783544637147127
2015-03-01,0.4804590589789452,0.01637107715371336,0.027691512885536545,0.06095741438604123,0.05252399094510115,0.04266089901587902
2015-04-01,0.06232608743951784,0.027162865435137035,0.0263677871328279,0.05582607388602655,0.059867286667870626,0.048984363521191156
2015-05-01,-0.4499093477673273,0.036470918762650455,0.023441739776885535,0.049644216769697234,0.06737451706478646,0.05794410287158423
2015-06-01,-1.4554384943306125,0.05584563941794676,0.017801638169208447,0.038826243881317835,0.07471739108775961,0.08015371873921713
2015-07-01,-0.6299581553720792,0.0364616513562794,0.020328295288122376,0.04757278322647268,0.06400848149537877,0.061444072675673714
2015-08-01,-0.4948050089808375,0.03183947952709716,0.022538523925488236,0.049543450152440105,0.06929943571183603,0.05879891008540458
2015-09-01,-0.2826917674639145,0.0317823420378581,0.021009053473758574,0.05324566523480481,0.061343280235969175,0.05486191335292716
2015-10-01,-0.6571305960492191,0.03660673339233783,0.020818756414862298,0.04907618672099932,0.06822039550107264,0.061989143203798044
2015-11-01,0.14886943926790308,0.024504315811139165,0.027095721851898,0.05679801591580171,0.06139108767415845,0.04760650532844958
2015-12-01,0.6378558691372317,0.012876645961407692,0.028358342952810395,0.06287092864278519,0.05383414705023774,0.04048879462523934
2016-01-01,0.44328156049155576,0.0138984857351795,0.027163700130542954,0.057566367478783166,0.05678684670910311,0.04318998477360434
2016-02-01,0.048900346546989326,0.024825168857583693,0.02436226036439929,0.054298917692637234,0.06245908215554682,0.04920147618467866
2016-03-01,-0.15705998399462762,0.03026874110430594,0.023350594054639358,0.05227065213735108,0.059059901960922145,0.05264853209822184
2016-04-01,-0.5648920355292593,0.03683040105942928,0.021480957537825262,0.04942293521414963,0.06722962447565858,0.060157022092847644
2016-05-01,-0.43730334634110984,0.03139835963298096,0.0214125578680493,0.048939773482183584,0.06673645077708347,0.05770619125274482
2016-06-01,-0.6887349229081888,0.03956168545718309,0.019275131262370404,0.047522895880329284,0.06939933745733703,0.06262879543563253
