loan_id,grade,reporting_date,quarter_index,macro_shock_z,origination_pd,current_pd_12m,current_pd_lifetime,stage,sicr_flag,lgd,ead,eir,ecl
2,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,15300.0,0.0856,252.2411117000762
3,E,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.65,15300.0,0.1466,443.5259975082648
4,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,15300.0,0.0743,254.8943040692569
5,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,25500.0,0.0954,535.6809336346854
6,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,35700.0,0.0716,596.2519149033279
8,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,35700.0,0.0524,520.3970939977246
11,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,35700.0,0.0783,592.5471130579674
12,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,10200.0,0.0451,149.72344457077392
13,F,Q1,0,-0.0,1.0,0.051135938536247004,0.9995,3,False,0.75,15300.0,0.1683,4767.654798153646
14,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,35700.0,0.0512,520.9911546073112
15,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,25500.0,0.1011,532.9079054612972
16,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,35700.0,0.1003,746.6135168452314
17,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,15300.0,0.0786,253.8781298549997
19,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,15300.0,0.0573,221.99371784864633
20,D,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.55,20400.0,0.119,512.7303220524499
21,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,35700.0,0.0825,590.2480849980658
22,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.0844,336.6936565370745
24,F,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.75,35700.0,0.1667,1173.5362597994458
25,D,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.55,35700.0,0.1181,898.0003158565512
26,F,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.75,10200.0,0.1727,333.5805660461239
27,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,15300.0,0.1101,317.15245187105717
28,D,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.55,35700.0,0.1251,892.4132549633011
29,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,20400.0,0.0969,427.958716166239
30,F,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.75,20400.0,0.1716,667.7875210008357
31,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,10200.0,0.0934,214.66431121398736
34,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,20400.0,0.1105,422.71761887685506
35,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,25500.0,0.0531,371.46513132873383
37,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,15300.0,0.0738,255.01299204842863
38,E,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.65,20400.0,0.1445,592.453075570673
40,E,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.65,15300.0,0.1432,444.84509162261764
42,D,Q1,0,-0.0,1.0,0.051135938536247004,0.9995,3,False,0.55,20400.0,0.1231,5560.738725075749
43,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,10200.0,0.0548,148.346579371365
46,B,Q1,0,-0.0,1.0,0.051135938536247004,0.9995,3,False,0.35,10200.0,0.0692,2284.486421353685
47,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.0765,339.1645156979132
48,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,10200.0,0.0739,169.99283040730216
49,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,25500.0,0.0795,422.7774445910186
50,D,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.55,25500.0,0.1214,639.5412323621048
51,F,Q1,0,-0.0,1.0,0.051135938536247004,0.9995,3,False,0.75,25500.0,0.1781,7725.7361148789505
54,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,20400.0,0.1039,425.2449640028513
55,E,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.65,20400.0,0.1529,588.136477570158
57,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,25500.0,0.0769,423.7981720085473
59,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.0748,339.7009686907365
60,E,Q1,0,-0.0,1.0,0.051135938536247004,0.9995,2,False,0.65,20400.0,0.1461,5187.837024405182
61,G,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.85,25500.0,0.194,928.2843113678005
62,D,Q1,0,-0.0,1.0,0.051135938536247004,0.9995,2,False,0.55,20400.0,0.1313,4589.11466912694
63,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,20400.0,0.045,299.4755443462504
64,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,20400.0,0.1037,425.32202207370443
65,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,35700.0,0.0521,520.5454821055083
67,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,15300.0,0.0724,255.34590718165114
68,D,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.55,25500.0,0.121,639.769436191672
70,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,15300.0,0.0735,255.08425790554512
71,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,15300.0,0.0688,256.2059794738049
73,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.071,340.90625690831337
75,A,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.3,25500.0,0.0488,372.9881100326941
76,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.0813,337.6589301292922
79,A,Q1,0,-0.0,1.0,0.051135938536247004,0.9995,3,False,0.3,25500.0,0.0454,5497.998901938214
80,C,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.45,20400.0,0.1013,426.2489019910538
81,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.0716,340.7153799447588
82,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.085,336.50746649659317
84,B,Q1,0,-0.0,0.0,0.051135938536247004,0.20454375414498802,1,False,0.35,20400.0,0.0715,340.7471779270216
